==================================================
 Topology          : 3D Torus 4x4x4 - MiniMD
 Routers           : 64
 Nodes per router  : 2  (local_ports)
 Total nodes       : 128
 Total MPI ranks   : 128
 PPN (ranks/node)  : 2   <-- should be 2
 Stats CSV         : /Users/stephenrajva/Downloads/HPC-Upload 2/SST_Stimulator/MiniMD/Torus/PPN_2/results/minimd_torus_4x4x4_ppn2_nodes128_stats.csv
==================================================
318235892163:0:51:EmberEngine:AllPingPong:generate:59: rank=51 size=128
318235892163:0:53:EmberEngine:AllPingPong:generate:59: rank=53 size=128
318235892163:0:55:EmberEngine:AllPingPong:generate:59: rank=55 size=128
318235892163:0:57:EmberEngine:AllPingPong:generate:59: rank=57 size=128
318235892163:0:59:EmberEngine:AllPingPong:generate:59: rank=59 size=128
318235892163:0:61:EmberEngine:AllPingPong:generate:59: rank=61 size=128
318235892163:0:63:EmberEngine:AllPingPong:generate:59: rank=63 size=128
318238505758:0:64:EmberEngine:AllPingPong:generate:59: rank=64 size=128
318238505758:0:66:EmberEngine:AllPingPong:generate:59: rank=66 size=128
318238505758:0:68:EmberEngine:AllPingPong:generate:59: rank=68 size=128
318238505758:0:70:EmberEngine:AllPingPong:generate:59: rank=70 size=128
318238505758:0:72:EmberEngine:AllPingPong:generate:59: rank=72 size=128
318238505758:0:74:EmberEngine:AllPingPong:generate:59: rank=74 size=128
318238505758:0:76:EmberEngine:AllPingPong:generate:59: rank=76 size=128
318238505758:0:78:EmberEngine:AllPingPong:generate:59: rank=78 size=128
318238505758:0:80:EmberEngine:AllPingPong:generate:59: rank=80 size=128
318238505758:0:82:EmberEngine:AllPingPong:generate:59: rank=82 size=128
318238505758:0:84:EmberEngine:AllPingPong:generate:59: rank=84 size=128
318238505758:0:86:EmberEngine:AllPingPong:generate:59: rank=86 size=128
318238505758:0:88:EmberEngine:AllPingPong:generate:59: rank=88 size=128
318238505758:0:90:EmberEngine:AllPingPong:generate:59: rank=90 size=128
318238505758:0:92:EmberEngine:AllPingPong:generate:59: rank=92 size=128
318238505758:0:94:EmberEngine:AllPingPong:generate:59: rank=94 size=128
318239089666:0:65:EmberEngine:AllPingPong:generate:59: rank=65 size=128
318239089666:0:67:EmberEngine:AllPingPong:generate:59: rank=67 size=128
318239089666:0:69:EmberEngine:AllPingPong:generate:59: rank=69 size=128
318239089666:0:71:EmberEngine:AllPingPong:generate:59: rank=71 size=128
318239089666:0:73:EmberEngine:AllPingPong:generate:59: rank=73 size=128
318239089666:0:75:EmberEngine:AllPingPong:generate:59: rank=75 size=128
318239089666:0:77:EmberEngine:AllPingPong:generate:59: rank=77 size=128
318239089666:0:79:EmberEngine:AllPingPong:generate:59: rank=79 size=128
318239089666:0:81:EmberEngine:AllPingPong:generate:59: rank=81 size=128
318239089666:0:83:EmberEngine:AllPingPong:generate:59: rank=83 size=128
318239089666:0:85:EmberEngine:AllPingPong:generate:59: rank=85 size=128
318239089666:0:87:EmberEngine:AllPingPong:generate:59: rank=87 size=128
318239089666:0:89:EmberEngine:AllPingPong:generate:59: rank=89 size=128
318239089666:0:91:EmberEngine:AllPingPong:generate:59: rank=91 size=128
